user,docid,page,corrupted,tableType,location,number,content,qualifiers
auto,19371824,2,false,na,Col,11,arms,indent;bold
auto,19371824,2,false,na,Col,1,characteristic_level,bold;
auto,19371824,2,false,na,Row,1,outcomes,
auto,19371824,2,false,na,Row,2,arms;measures,
auto,19423108,2,false,na,Col,2,characteristic_level,
auto,19423108,2,false,na,Row,1,measures;arms,
auto,19443528,1,false,na,Col,1,characteristic_level,
auto,19443528,1,false,na,Row,1,arms,
auto,19443528,2,false,na,Col,1,characteristic_level,empty_row
auto,19443528,2,false,na,Col,1,measures,indent;
auto,19443528,2,false,na,Row,1,characteristic_level,
auto,19447387,2,false,na,Col,1,characteristic_level,
auto,19447387,2,false,na,Row,1,characteristic_level,
auto,19447387,2,false,na,Row,2,arms,
auto,19447387,3,false,na,Col,1,characteristic_level,empty_row_with_p_value
auto,19447387,3,false,na,Row,1,measures,
auto,19515181,1,false,na,Col,1,characteristic_level;characteristic_name,
auto,19515181,1,false,na,Col,1,characteristic_name,empty_row
auto,19560810,1,false,na,Col,1,characteristic_level,empty_row
auto,19560810,1,false,na,Col,1,measures,indent;
auto,19560810,1,false,na,Row,1,measures,
auto,19560810,1,false,na,Row,2,arms,
auto,19567517,1,false,na,Col,1,characteristic_level,indent;
auto,19567517,1,false,na,Col,1,characteristic_level,indent;empty_row
auto,19567517,1,false,na,Row,1,measures;arms,
auto,19567517,2,false,na,Col,1,characteristic_level;characteristic_name,empty_row
auto,19567517,2,false,na,Col,1,characteristic_level,indent;
auto,19567517,2,false,na,Row,1,measures;arms,
auto,19567517,2,false,na,Row,2,measures;arms,
auto,19704100,2,false,na,Col,1,characteristic_level,
auto,19704100,2,false,na,Row,1,measures,
auto,19704100,2,false,na,Row,2,measures,
auto,19716598,2,false,na,Col,1,characteristic_level,
auto,19716598,2,false,na,Col,1,characteristic_level;measures,bold;empty_row
auto,19716598,2,false,na,Row,1,arms;measures,
auto,19717844,1,false,na,Col,1,characteristic_level,
auto,19717844,1,false,na,Col,1,characteristic_level;measures,indent;empty_row
auto,19717844,1,false,na,Row,1,arms,
auto,19717850,1,false,na,Col,1,characteristic_level,
auto,19717850,1,false,na,Row,1,arms,
auto,19751115,2,false,na,Col,1,characteristic_level;characteristic_name,
auto,19751115,2,false,na,Col,2,arms,
auto,19751115,2,false,na,Col,3,characteristic_level,
auto,19752419,1,false,na,Col,1,characteristic_level,empty_row
auto,19752419,1,false,na,Col,1,characteristic_level,indent;
auto,19752419,1,false,na,Col,1,characteristic_level,indent;empty_row
auto,19752419,1,false,na,Row,2,arms,
auto,19776408,1,false,na,Col,1,characteristic_level,
auto,19776408,1,false,na,Row,1,arms,
auto,19776408,1,false,na,Row,2,arms,
auto,19933596,1,false,na,Col,1,characteristic_level,
auto,19933596,1,false,na,Col,1,characteristic_name,indent;
auto,19933596,1,false,na,Col,1,characteristic_name,empty_row
auto,19933596,1,false,na,Row,2,characteristic_level,
auto,19933596,1,false,na,Row,3,characteristic_level,
auto,19966341,1,false,na,Col,1,characteristic_level,
auto,19966341,1,false,na,Col,1,characteristic_name,empty_row
auto,19966341,1,false,na,Row,1,arms,
auto,19966341,1,false,na,Row,35,characteristic_level,
auto,20136164,1,false,na,Col,1,outcomes;characteristic_name,
